hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
要,要,yāo,(bound form) to demand; to coerce,"newest-1, new-1, old-2",v,19,1,1-char,我每天都要。,I to demand; to coerce every day.
说,說,shuì,to persuade,"newest-1, new-1","v, g",19,1,1-char,我每天都说。,I to persuade every day.
好,好,hǎo,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,"newest-1, new-1, old-1","a, d, v",20,1,1-char,这个很好。,This is very good.
一,一,yī,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit","newest-1, new-1, old-1","m, d, t",21,1,1-char,我有三一。,I have three one.
也,也,Yě,surname Ye,"newest-1, new-1, old-2","d, y, u, b",23,1,1-char,他也来。,He comes surname Ye.
会,會,huì,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),"newest-1, new-1, old-1","v, n",23,1,1-char,我每天都会。,I can; to have the skill; to know how to every day.
都,都,Dū,surname Du,"newest-1, new-1, old-1","d, g",25,1,1-char,他都来。,He comes surname Du.
对,對,duì,right; correct; towards; at; for; concerning; regarding; to treat (sb a certain way); to face; (bound form) opposite; facing; matching; to match together; to adjust; to fit; to suit; to answer; to reply; to add; to pour in (a fluid); to check; to compare; classifier: couple; pair,"newest-1, new-1, old-4, old-4","p, v, q, a",28,1,1-char,我对家来。,I come right; correct home.
上,上,shǎng,used in 上声,"newest-1, new-1, old-1","f, v, g",29,1,1-char,我在学习“上”。,I'm learning '上'.
到,到,dào,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,"newest-1, new-1, old-2","v, p",29,1,1-char,我每天都到。,I to reach; to arrive every day.
来,來,lái,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回来); ever since (as in 自古以来); for the past (amount of time); (prefix) the coming ...; the next ... (as in 来世); (between two verbs) in order to; (after a round number) approximately; (used after 得 to indicate possibility, as in 谈得来, or after 不 to indicate impossibility, as in 吃不来)","newest-1, new-1, old-1","v, f, m, u, y",31,1,1-char,我每天都来。,I to come every day.
很,很,hěn,(adverb of degree); quite; very; awfully,"newest-1, new-1, old-1",d,35,1,1-char,他很来。,He comes quickly.
还,還,Huán,surname Huan,"newest-1, new-1, old-2, old-2","d, v",37,1,1-char,他还来。,He comes surname Huan.
去,去,qù,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),"newest-1, new-1, old-1",v,38,1,1-char,我每天都去。,I to go every day.
她,她,tā,she,"newest-1, new-1, old-1",r,38,1,1-char,她在这里。,She is here.
着,著,zhāo,(chess) move; trick; all right!; (dialect) to add,"newest-2, new-1, old-2","u, v, n, q",38,1,1-char,我在学习“着”。,I'm learning '着'.
想,想,xiǎng,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),"newest-1, new-1, old-1",v,44,1,1-char,我每天都想。,I to think every day.
给,給,gěi,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),"newest-1, new-1, old-2","p, v, u",46,1,1-char,我给家来。,I come to home.
能,能,Néng,surname Neng,"newest-1, new-1, old-1","v, g",46,1,1-char,我每天都能。,I surname Neng every day.
啊,啊,ā,interjection of surprise; Ah!; Oh!,"newest-2, new-2, old-3","y, e",47,1,1-char,我在学习“啊”。,I'm learning '啊'.
那,那,Nā,surname Na,"newest-1, new-1, old-1","r, c",48,1,1-char,我在学习“那”。,I'm learning '那'.
把,把,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})","newest-3, new-3, old-3","p, qv, v, m",50,1,1-char,我把家来。,I come to hold; to grasp home.
看,看,kān,to look after; to take care of; to watch; to guard,"newest-1, new-1, old-1","v, u",52,1,1-char,我每天都看。,I to look after every day.
做,做,zuò,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)","newest-1, new-1, old-1",v,53,1,1-char,我每天都做。,I to make; to produce every day.
被,被,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)","newest-3, new-3, old-3","p, g, d",54,1,1-char,我被家来。,I come quilt home.
让,讓,ràng,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被)","newest-2, new-2, old-2",v,54,1,1-char,我每天都让。,I to yield every day.
但,但,dàn,but; yet; however; still; merely; only; just,"newest-2, new-2","c, d",55,1,1-char,我在学习“但”。,I'm learning '但'.
为,為,wéi,as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice),"newest-3, new-2, old-2","p, v",58,1,1-char,我为家来。,I come as home.
吧,吧,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧","newest-1, new-1, old-2",y,58,1,1-char,我在学习“吧”。,I'm learning '吧'.
得,得,dé,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,"newest-2, new-2, old-2, old-2","u, v",58,1,1-char,我在学习“得”。,I'm learning '得'.
点,點,diǎn,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items,"newest-1, new-1, old-1","qt, n, t, v",58,1,1-char,我在学习“点”。,I'm learning '点'.
过,過,Guō,surname Guo,"newest-2, new-1, old-4, old-4","u, v, d, g",60,1,1-char,我在学习“过”。,I'm learning '过'.
没,沒,méi,(negative prefix for verbs) have not; not,"new-1, old-1","d, v",63,1,1-char,他没来。,He comes have not; not.
大,大,dà,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),"newest-1, new-1, old-1","a, d, n, g",66,1,1-char,这个很大。,This is very big; large; great.
下,下,xià,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action","newest-1, new-1, old-1","v, f, qt, g",70,1,1-char,我每天都下。,I down every day.
从,从,cóng,variant of 从,"newest-2, new-1, old-2","p, g",70,1,1-char,我从家来。,I come variant of 从 home.
中,中,Zhōng,China; Chinese; surname Zhong,"newest-3, new-1","f, b, v",71,1,1-char,我在学习“中”。,I'm learning '中'.
而,而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),"newest-4, new-4, old-4","cc, u",75,1,1-char,我在学习“而”。,I'm learning '而'.
里,裏,lǐ,variant of 里,"newest-1, new-1, old-1","f, q",75,1,1-char,我在学习“里”。,I'm learning '里'.
真,真,zhēn,really; truly; indeed; real; true; genuine,"newest-1, new-1, old-2","d, a, g",76,1,1-char,他真来。,He comes really.
年,年,Nián,surname Nian,"newest-1, new-1, old-1","qt, t, n",79,1,1-char,我在学习“年”。,I'm learning '年'.
用,用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,"newest-3, new-1, old-3","v, p, g",79,1,1-char,我每天都用。,I to use every day.
多,多,duō,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,"newest-1, new-1, old-1","a, m, ad, d, v, g",80,1,1-char,这个很多。,This is very many; much.
两,兩,liǎng,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)","newest-1, new-1, old-2","m, t",81,1,1-char,我有三两。,I have three two.
吗,嗎,má,(coll.) what?,"newest-1, new-1, old-1",y,83,1,1-char,你好吗？,Are you well?
天,天,tiān,day; sky; heaven,"newest-1, new-1","qt, n",83,1,1-char,我在学习“天”。,I'm learning '天'.
等,等,děng,class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once,"newest-2, new-1, old-4, old-4","v, u",83,1,1-char,我每天都等。,I class every day.
出,出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc","newest-2, new-1, old-2","v, q",85,1,1-char,我每天都出。,I to go out every day.
太,太,tài,highest; greatest; too (much); very; extremely,"newest-1, new-1, old-1","d, b",87,1,1-char,他太来。,He comes highest.
最,㝡,zuì,variant of 最,"newest-2, new-1, old-2","d, g",89,1,1-char,他最来。,He comes variant of 最.
再,再,zài,"again; once more; re-; second; another; then (after sth, and not until then); no matter how ... (followed by an adjective or verb, and then (usually) 也 or 都 for emphasis)","newest-1, new-1, old-2","d, g",91,1,1-char,他再来。,He comes again; once more; re-.
又,又,yòu,(once) again; also; both... and...; and yet; (used for emphasis) anyway,"newest-3, new-2, old-3","d, c",91,1,1-char,他又来。,He comes again.
可,可,kě,(prefix) can; may; able to; -able; to approve; to permit; to suit; (particle used for emphasis) certainly; very,"newest-3, new-5","v, c, d",96,1,1-char,我每天都可。,I can; may; able to; -able every day.
呢,呢,ne,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation","newest-1, new-1, old-1",y,96,1,1-char,我在学习“呢”。,I'm learning '呢'.
只,只,zhǐ,only; merely; just; but,"newest-1, new-2, old-3, old-3","d, q",98,1,1-char,他只来。,He comes only.
次,次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time","newest-2, new-1, old-2","qv, a, g",99,1,1-char,我在学习“次”。,I'm learning '次'.
将,將,jiāng,"will; shall; to use; to take; to checkmate; just a short while ago; (introduces object of main verb, used in the same way as 把)","newest-4, new-5","d, p, g",100,1,1-char,他将来。,He comes will.
小,小,xiǎo,small; tiny; few; young,"newest-1, new-1, old-1","a, ad",100,1,1-char,这个很小。,This is very small.
走,走,zǒu,"to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 走); to change (shape, form, meaning)","newest-2, new-1, old-2",v,109,1,1-char,我每天都走。,I to walk every day.
事,事,shì,matter; thing; item; work; affair,"newest-1, new-1","n, g",113,1,1-char,这是事。,This is a matter.
它,它,tā,it,"newest-1, new-2, old-2",r,114,1,1-char,它在这里。,It is here.
后,后,Hòu,surname Hou,"newest-1, new-1","f, g, t",115,1,1-char,我在学习“后”。,I'm learning '后'.
时,旹,shí,old variant of 时,"newest-2, new-3","g, t",115,1,1-char,我在学习“时”。,I'm learning '时'.
该,該,gāi,should; ought to; probably; must be; to deserve; to owe; to be sb's turn to do sth; that; the above-mentioned,"newest-3, new-2","v, r",116,1,1-char,我每天都该。,I should every day.
家,傢,jiā,used in 家伙 and 家俱,"newest-1, new-1, old-1","n, q",124,1,1-char,这是家。,This is an used in 家伙 and 家俱.
前,前,qián,front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly,"newest-1, new-1","f, v",127,1,1-char,我在学习“前”。,I'm learning '前'.
更,更,gēng,to change or replace; to experience; one of the five two-hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard),"newest-3, new-2, old-3",d,127,1,1-char,他更来。,He comes to change or replace.
爱,愛,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),"newest-1, new-1, old-1","v, vn, b",130,1,1-char,我每天都爱。,I to love; to be fond of; to like every day.
地,地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct","newest-2, new-1, old-3","u, n",132,1,1-char,我在学习“地”。,I'm learning '地'.
才,才,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,"newest-3, new-2, old-3","d, c, n",133,1,1-char,他才来。,He comes ability; talent.
跟,跟,gēn,heel; to follow closely; to go with; (of a woman) to marry sb; with; compared with; to; towards; and (joining two nouns),"newest-2, new-1, old-3","p, v",135,1,1-char,我跟家来。,I come heel home.
吃,吃,chī,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)","newest-1, new-1, old-1",v,142,1,1-char,我每天都吃。,I to eat; to consume every day.
谁,誰,shéi,who; also pr. [shuí],"newest-1, new-1, old-1",r,142,1,1-char,我在学习“谁”。,I'm learning '谁'.
与,與,yú,variant of 欤,"newest-4, new-6, old-4","p, cc",147,1,1-char,我与家来。,I come variant of 欤 home.
并,並,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,"newest-4, new-3","d, cc",148,1,1-char,他并来。,He comes and.
新,新,Xīn,abbr. for Xinjiang 疆 or Singapore 坡; surname Xin,"newest-1, new-1, old-2","a, d, b",150,1,1-char,这个很新。,This is very abbr. for Xinjiang 疆 or Singapore 坡.
像,像,xiàng,to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.),"newest-3, new-2, old-3","v, p, n, d",151,1,1-char,我每天都像。,I to resemble every day.
找,找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,"newest-1, new-1, old-2",v,152,1,1-char,我每天都找。,I to try to find every day.
快,快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,"newest-2, new-1, old-2","a, d, g",153,1,1-char,这个很快。,This is very rapid.
打,打,dá,dozen (loanword),"newest-2, new-1",v,153,1,1-char,我每天都打。,I dozen every day.
当,噹,dāng,(onom.) dong; ding dong (bell),"newest-4, new-2, old-4","p, v",155,1,1-char,我当家来。,I come dong home.
比,比,Bǐ,Belgium; Belgian; abbr. for 比利时,"newest-2, new-1, old-2","p, v, n, b",155,1,1-char,我比家来。,I come Belgium home.
话,話,huà,dialect; language; spoken words; speech; talk; words; conversation; what sb said,new-1,"n, v",157,1,1-char,这是话。,This is a dialect.
所,所,suǒ,"actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive","newest-5, new-3, old-5","u, q, n",159,1,1-char,我在学习“所”。,I'm learning '所'.
之,之,zhī,"(possessive particle, literary equivalent of 的); him; her; it","newest-4, new-7, old-4","u, r, g",160,1,1-char,我在学习“之”。,I'm learning '之'.
月,月,yuè,moon; month; monthly,"newest-1, new-1, old-1","n, t",161,1,1-char,这是月。,This is a moon.
向,向,Xiàng,surname Xiang,"newest-3, new-2, old-2","p, v, g",165,1,1-char,我向家来。,I come surname Xiang home.
以,㕥,yǐ,old variant of 以,"newest-5, new-7, old-4","p, c, b",166,1,1-char,我以家来。,I come old variant of 以 home.
起,起,qǐ,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; starting from (a time, place, price etc); classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group","newest-3, new-1","v, q, f",174,1,1-char,我每天都起。,I to rise every day.
位,位,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); (physics) potential,"newest-2, new-2, old-3","q, g",177,1,1-char,我在学习“位”。,I'm learning '位'.
带,帶,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise,"newest-3, new-2, old-3",v,177,1,1-char,我每天都带。,I band every day.
死,死,sǐ,to die; impassable; uncrossable; inflexible; rigid; extremely; damned,"newest-4, new-3, old-4","v, a, vn, d",177,1,1-char,我每天都死。,I to die every day.
几,几,jī,small table,"newest-1, new-1, old-1","m, d",178,1,1-char,我有三几。,I have three small table.
见,見,jiàn,to see; to meet; to appear (to be sth); to interview; opinion; view,"newest-1, new-1","v, g",178,1,1-char,我每天都见。,I to see every day.
种,種,zhǒng,"seed; species; kind; type; classifier for types, kinds, sorts","newest-3, new-3, old-3","q, v, g",179,1,1-char,我在学习“种”。,I'm learning '种'.
哦,哦,é,to chant,"newest-5, new-7, old-6","o, e",186,1,1-char,我在学习“哦”。,I'm learning '哦'.
车,車,Chē,surname Che,"newest-1, new-1","n, q",186,1,1-char,这是车。,This is a surname Che.
听,听,yǐn,smile (archaic),"newest-1, new-1, old-1",v,190,1,1-char,我每天都听。,I smile every day.
手,手,shǒu,hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill,"newest-2, new-1","n, q",190,1,1-char,这是手。,This is a hand.
开,開,kāi,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format","newest-1, new-1, old-1","v, q",195,1,1-char,我每天都开。,I to open every day.
却,㕁,què,old variant of 却,"newest-4, new-4, old-4",d,199,1,1-char,他却来。,He comes old variant of 却.
叫,叫,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),"newest-1, new-1, old-1","v, p, n",200,1,1-char,我每天都叫。,I to shout every day.
别,別,Bié,surname Bie,"newest-2, new-1, old-2","d, v, r, vn",214,1,1-char,他别来。,He comes surname Bie.
请,請,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,"newest-1, new-1, old-1",v,216,1,1-char,我每天都请。,I to ask every day.
钱,錢,Qián,surname Qian,"newest-1, new-1, old-1","n, nr",218,1,1-char,这是钱。,This is a surname Qian.
本,本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc","newest-1, new-1, old-1","r, q, d, n",222,1,1-char,我在学习“本”。,I'm learning '本'.
回,回,huí,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),"newest-1, new-1, old-1","v, qv",225,1,1-char,我每天都回。,I to circle every day.
成,成,Chéng,surname Cheng,"newest-6, new-2","v, q",227,1,1-char,我每天都成。,I surname Cheng every day.
三,三,Sān,surname San,"newest-1, new-1, old-1","m, t",233,1,1-char,我有三三。,I have three surname San.
名,名,míng,name; noun (part of speech); place (e.g. among winners); famous; classifier for people,"newest-2, new-2","q, g",234,1,1-char,我在学习“名”。,I'm learning '名'.
买,買,mǎi,to buy; to purchase,"newest-1, new-1, old-1",v,240,1,1-char,我每天都买。,I to buy every day.
于,于,Yú,surname Yu,"newest-6, new-6","p, g",246,1,1-char,我于家来。,I come surname Yu home.
啦,啦,lā,"(onom.) sound of singing, cheering etc; (phonetic); (dialect) to chat","newest-6, new-6, old-6",y,246,1,1-char,我在学习“啦”。,I'm learning '啦'.
长,長,cháng,length; long; forever; always; constantly,"newest-2, new-2, old-2, old-2","a, v, ad, g",246,1,1-char,这个很长。,This is very length.
问,問,wèn,to ask; to inquire,"newest-1, new-1, old-2","v, g, vn",246,1,1-char,我每天都问。,I to ask; to inquire every day.
岁,嵗,suì,"variant of 岁, year; years old","newest-1, new-1, old-1",qt,266,1,1-char,我在学习“岁”。,I'm learning '岁'.
老,老,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,"newest-3, new-1, old-3","a, d, g",266,1,1-char,这个很老。,This is very prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity.
行,行,háng,"row; line; commercial firm; line of business; profession; to rank (first, second etc) among one's siblings (by age); (in data tables) row; (Tw) column","newest-3, new-1, old-4","v, g, q, a, n",272,1,1-char,我每天都行。,I row every day.
条,條,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)","newest-2, new-2, old-3",q,277,1,1-char,我在学习“条”。,I'm learning '条'.
号,號,háo,roar; cry,"newest-1, new-1, old-2","q, n, v",278,1,1-char,我在学习“号”。,I'm learning '号'.
住,住,zhù,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)","newest-1, new-1, old-1",v,280,1,1-char,我每天都住。,I to live every day.
放,放,fàng,to put; to place; to release; to free; to let go; to let out; to set off (fireworks),"newest-3, new-1, old-3",v,280,1,1-char,我每天都放。,I to put every day.
场,場,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout","newest-4, new-2, old-4","qv, g",286,1,1-char,我在学习“场”。,I'm learning '场'.
拿,㧱,ná,old variant of 拿,"newest-2, new-1, old-3",v,287,1,1-char,我每天都拿。,I old variant of 拿 every day.
高,高,Gāo,surname Gao,"newest-2, new-1, old-2","a, ad, v, g",290,1,1-char,这个很高。,This is very surname Gao.
心,心,xīn,heart; mind; intention; center; core,"newest-4, new-3",n,291,1,1-char,这是心。,This is a heart.
件,件,jiàn,"item; component; classifier for events, things, clothes etc","newest-1, new-2, old-2","q, g",292,1,1-char,我在学习“件”。,I'm learning '件'.
正,正,zhēng,first month of the lunar year,"newest-2, new-1, old-5","d, b, a, v",294,1,1-char,他正来。,He comes first month of the lunar year.
已,已,yǐ,already; to stop; then; afterwards,"newest-4, new-3",d,303,1,1-char,他已来。,He comes already.
先,先,xiān,early; prior; former; in advance; first,"newest-3, new-1, old-3","d, g",306,1,1-char,他先来。,He comes early.
或,或,huò,maybe; perhaps; might; possibly; or,"newest-3, new-2","c, d",307,1,1-char,我在学习“或”。,I'm learning '或'.
张,張,Zhāng,surname Zhang,"newest-3, new-3, old-2","q, nr, v, g",316,1,1-char,我在学习“张”。,I'm learning '张'.
内,內,nèi,inside; inner; internal; within; interior,"newest-4, new-3, old-4",f,319,1,1-char,我在学习“内”。,I'm learning '内'.
头,頭,tóu,head; hair style; the top; end; beginning or end; a stub; remnant; chief; boss; side; aspect; first; leading; classifier for pigs or livestock,"newest-2, new-2","n, q, m, k",329,1,1-char,这是头。,This is a head.
总,總,zǒng,general; overall; to sum up; in every case; always; invariably; anyway; after all; eventually; sooner or later; surely; (after a person's name) abbr. for 总经理 or 总编 etc,"newest-3, new-3","d, b, v",335,1,1-char,他总来。,He comes general; overall.
水,水,Shuǐ,surname Shui,"newest-1, new-1, old-1",n,335,1,1-char,这是水。,This is a surname Shui.
进,進,jìn,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,"newest-2, new-1, old-2",v,338,1,1-char,我每天都进。,I to go forward every day.
每,每,měi,each; every,"newest-2, new-3, old-2",r,340,1,1-char,我在学习“每”。,I'm learning '每'.
美,美,Měi,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国),"newest-4, new-3","b, a, g, an",343,1,1-char,我在学习“美”。,I'm learning '美'.
无,無,wú,not to have; no; none; not; to lack; un-; -less,"newest-4, new-4, old-4",v,344,1,1-char,我每天都无。,I not to have every day.
写,寫,xiě,to write,"newest-1, new-1, old-1",v,352,1,1-char,我每天都写。,I to write every day.
周,周,Zhōu,surname Zhou; Zhou Dynasty (1046-256 BC),"newest-2, new-2","qt, nr, g, n, tg",352,1,1-char,我在学习“周”。,I'm learning '周'.
由,由,yóu,to follow; from; because of; due to; by; via; through; (before a noun and a verb) it is for ... to ...,"newest-4, new-3, old-4","p, v",353,1,1-char,我由家来。,I come to follow home.
您,您,nín,"you (courteous, as opposed to informal 你)","newest-1, new-1, old-2",r,357,1,1-char,我在学习“您”。,I'm learning '您'.
女,女,nǚ,female; woman; daughter,"newest-1, new-1","b, g",368,1,1-char,我在学习“女”。,I'm learning '女'.
送,送,sòng,to send; to deliver; to transmit; to give (as a present); to see (sb) off; to accompany; to go along with,"newest-2, new-1, old-2",v,370,1,1-char,我每天都送。,I to send; to deliver; to transmit every day.
分,分,fēn,to divide; to separate; to distribute; to allocate; to distinguish (good and bad); (bound form) branch of (an organization); sub- (as in 局); fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute (unit of time); minute (angular measurement unit); a point (in sports or games); 0.01 yuan (unit of money),"newest-1, new-1, old-3","t, qt, v, g, n, d",372,1,1-char,我们分见。,See you to divide; to separate.
笑,咲,xiào,old variant of 笑,"newest-2, new-1, old-2","v, vn",382,1,1-char,我每天都笑。,I old variant of 笑 every day.
