hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
大部分,大部分,dà bù fen,in large part; the greater part; the majority,new-2,"m, n",1854,3,3-char,我有三大部分。,I have three in large part.
什么样,什麼樣,shén me yàng,what kind?; what sort?,new-2,r,1946,3,3-char,我在学习“什么样”。,I'm learning '什么样'.
进一步,進一步,jìn yī bù,"to go a step further; (develop, understand, improve etc) more; further","newest-5, new-3","d, b",1996,3,3-char,他进一步来。,He comes to go a step further.
差不多,差不多,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad,"newest-3, new-2, old-4",l,2024,3,3-char,我在学习“差不多”。,I'm learning '差不多'.
大多数,大多數,dà duō shù,(great) majority,new-2,m,2065,3,3-char,我有三大多数。,I have three majority.
一会儿,一會兒,yī huì r,a moment; a while; in a moment; now...now...; also pr. [yī huǐ r],"newest-2, new-1, old-3",mq,2207,3,3-char,我有三一会儿。,I have three a moment.
一辈子,一輩子,yī bèi zi,(for) a lifetime,"newest-6, new-5, old-5",mq,2335,3,3-char,我有三一辈子。,I have three a lifetime.
全世界,全世界,quán shì jiè,worldwide; entire world,new-5,n,2337,3,3-char,这是全世界。,This is a worldwide.
只不过,只不過,zhǐ bu guò,only; merely; nothing but; no more than; it's just that ...,new-5,d,2500,3,3-char,他只不过来。,He comes only.
是不是,是不是,shì bù shì,is or isn't; yes or no; whether or not,new-1,v,2655,3,3-char,我每天都是不是。,I is or isn't every day.
看上去,看上去,kàn shang qu,it would appear; it seems (that),new-3,v,2674,3,3-char,我每天都看上去。,I it would appear every day.
出租车,出租車,chū zū chē,taxi; (Tw) rental car,"newest-1, new-2, old-1",n,2677,3,3-char,这是出租车。,This is a taxi.
干什么,幹什麼,gàn shén me,what are you doing?; what's he up to?,new-1,v,2714,3,3-char,我每天都干什么。,I what are you doing? every day.
比如说,比如說,bǐ rú shuō,for example,new-2,v,2785,3,3-char,我每天都比如说。,I for example every day.
一句话,一句話,yī jù huà,in a word; in short,new-5,,2843,3,3-char,我在学习“一句话”。,I'm learning '一句话'.
圣诞节,聖誕節,Shèng dàn jié,Christmas time; Christmas season; Christmas,new-6,t,2857,3,3-char,我们圣诞节见。,See you Christmas time.
负责人,負責人,fù zé rén,person in charge,"newest-4, new-5",n,2871,3,3-char,这是负责人。,This is a person in charge.
接下来,接下來,jiē xià lái,to accept; to take; next; following,new-2,"v, c",2928,3,3-char,我每天都接下来。,I to accept every day.
有意思,有意思,yǒu yì si,interesting; meaningful; enjoyable; fun,"newest-2, new-2",l,2983,3,3-char,我在学习“有意思”。,I'm learning '有意思'.
巧克力,巧克力,qiǎo kè lì,chocolate (loanword),"newest-4, new-4, old-4",n,3003,3,3-char,这是巧克力。,This is a chocolate.
女朋友,女朋友,nǚ péng you,girlfriend,"newest-1, new-1",n,3004,3,3-char,这是女朋友。,This is a girlfriend.
实验室,實驗室,shí yàn shì,laboratory,"newest-5, new-3",n,3028,3,3-char,这是实验室。,This is a laboratory.
主持人,主持人,zhǔ chí rén,TV or radio presenter; host; anchor,new-6,n,3059,3,3-char,这是主持人。,This is a TV or radio presenter.
小时候,小時候,xiǎo shí hou,in one's childhood,"newest-2, new-2","t, n",3067,3,3-char,我们小时候见。,See you in one's childhood.
看起来,看起來,kàn qǐ lai,seemingly; apparently; looks as if; appear to be; gives the impression that; seems on the face of it to be,new-3,v,3085,3,3-char,我每天都看起来。,I seemingly every day.
能不能,能不能,néng bùnéng,Can you,new-3,,3153,3,3-char,我在学习“能不能”。,I'm learning '能不能'.
男朋友,男朋友,nán péng you,boyfriend,"newest-1, new-1",n,3176,3,3-char,这是男朋友。,This is a boyfriend.
运动员,運動員,yùn dòng yuán,athlete,"newest-3, new-4",n,3182,3,3-char,这是运动员。,This is an athlete.
之所以,之所以,zhī suǒ yǐ,"(after a noun N and before a predicate P) the reason why N P; Example: 我之所以讨厌他 ""the reason why I dislike him (is ...)""","newest-6, new-7",c,3256,3,3-char,我在学习“之所以”。,I'm learning '之所以'.
自行车,自行車,zì xíng chē,bicycle; bike,"newest-3, new-2, old-2",n,3400,3,3-char,这是自行车。,This is a bicycle; bike.
房地产,房地產,fáng dì chǎn,real estate,"newest-7, new-7",n,3463,3,3-char,这是房地产。,This is a real estate.
当事人,當事人,dāng shì rén,persons involved or implicated; party (to an affair),"newest-7, new-7, old-6",n,3517,3,3-char,这是当事人。,This is a persons involved or implicated; party.
没关系,沒關係,méi guān xi,it doesn't matter,"newest-1, new-1, old-1",v,3541,3,3-char,我每天都没关系。,I it doesn't matter every day.
科学家,科學家,kē xué jiā,scientist,new-2,n,3551,3,3-char,这是科学家。,This is a scientist.
董事会,董事會,dǒng shì huì,board of directors,"newest-7, new-7",n,3580,3,3-char,这是董事会。,This is a board of directors.
不一定,不一定,bù yī dìng,not necessarily; maybe,new-2,,3647,3,3-char,我在学习“不一定”。,I'm learning '不一定'.
计算机,計算機,jì suàn jī,computer; (Tw) calculator,"newest-5, new-2",n,3682,3,3-char,这是计算机。,This is a computer.
基本上,基本上,jī běn shang,basically; on the whole,"newest-4, new-3",d,3705,3,3-char,他基本上来。,He comes basically.
设计师,設計師,shè jì shī,designer; architect,new-6,n,3717,3,3-char,这是设计师。,This is a designer.
受不了,受不了,shòu bù liǎo,unbearable; unable to endure; can't stand,"newest-4, new-4, old-4",l,3756,3,3-char,我在学习“受不了”。,I'm learning '受不了'.
啦啦队,啦啦隊,lā lā duì,cheerleading squad,"newest-7, new-7",n,3808,3,3-char,这是啦啦队。,This is a cheerleading squad.
图书馆,圖書館,tú shū guǎn,library,"newest-3, new-1, old-3",n,3836,3,3-char,这是图书馆。,This is a library.
演唱会,演唱會,yǎn chàng huì,vocal recital or concert,new-3,n,3862,3,3-char,这是演唱会。,This is a vocal recital or concert.
开玩笑,開玩笑,kāi wán xiào,to play a joke; to make fun of; to joke,"newest-4, new-1, old-4",v,3878,3,3-char,我每天都开玩笑。,I to play a joke every day.
笔记本,筆記本,bǐ jì běn,notebook (stationery); notebook (computing),"newest-3, new-2, old-4",n,3935,3,3-char,这是笔记本。,This is a notebook.
电视台,電視臺,diàn shì tái,television station,"newest-5, new-3",n,3940,3,3-char,这是电视台。,This is a television station.
信用卡,信用卡,xìn yòng kǎ,credit card,"newest-3, new-2, old-4",n,3960,3,3-char,这是信用卡。,This is a credit card.
青少年,青少年,qīng shào nián,adolescent; youth; teenager,"new-2, old-5",n,4006,3,3-char,这是青少年。,This is an adolescent.
无所谓,無所謂,wú suǒ wèi,to be indifferent; not to matter; cannot be said to be,"newest-6, new-4",v,4014,3,3-char,我每天都无所谓。,I to be indifferent every day.
联合国,聯合國,Lián hé guó,United Nations,"newest-6, new-3",nt,4037,3,3-char,这是联合国。,This is an United Nations.
忍不住,忍不住,rěn bu zhù,cannot help; unable to bear,"new-5, old-5",v,4096,3,3-char,我每天都忍不住。,I cannot help every day.
摩托车,摩托車,mó tuō chē,(loanword) motorbike; motorcycle,"newest-6, old-5",n,4123,3,3-char,这是摩托车。,This is a motorbike; motorcycle.
事务所,事務所,shì wù suǒ,office; firm,"newest-7, new-7",n,4162,3,3-char,这是事务所。,This is an office.
博物馆,博物館,bó wù guǎn,museum,"newest-5, new-5, old-5",n,4179,3,3-char,这是博物馆。,This is a museum.
不在乎,不在乎,bù zài hu,not to care,new-4,v,4222,3,3-char,我每天都不在乎。,I not to care every day.
电视剧,電視劇,diàn shì jù,TV series; TV drama,"newest-4, new-3",n,4222,3,3-char,这是电视剧。,This is a TV series.
身份证,身份證,shēn fèn zhèng,identity card; ID,"newest-4, new-3",n,4226,3,3-char,这是身份证。,This is an identity card.
小伙子,小伙子,xiǎo huǒ zi,young man; young guy; lad; youngster,"newest-4, new-4, old-5",n,4267,3,3-char,这是小伙子。,This is a young man.
一下子,一下子,yī xià zi,in a short while; all at once; all of a sudden,new-5,"mq, d",4322,3,3-char,我有三一下子。,I have three in a short while.
一部分,一部分,yī bù fen,portion; part of; subset,new-2,m,4346,3,3-char,我有三一部分。,I have three portion.
尽可能,儘可能,jǐn kě néng,as far as possible; to do one's utmost,new-5,d,4359,3,3-char,他尽可能来。,He comes as far as possible.
大学生,大學生,dà xué shēng,university student; college student,"newest-1, new-1",n,4422,3,3-char,这是大学生。,This is an university student.
小朋友,小朋友,xiǎo péng yǒu,child,"newest-1, new-1",n,4536,3,3-char,这是小朋友。,This is a child.
直升机,直升機,zhí shēng jī,helicopter,"newest-7, new-6",n,4657,3,3-char,这是直升机。,This is a helicopter.
说不定,說不定,shuō bu dìng,can't say for sure; maybe,"newest-5, new-4, old-5",v,4677,3,3-char,我每天都说不定。,I can't say for sure every day.
机器人,機器人,jī qì rén,robot; android,"newest-5, new-5",n,4844,3,3-char,这是机器人。,This is a robot.
互联网,互聯網,Hù lián wǎng,Internet,"newest-4, new-3, old-6",n,4872,3,3-char,这是互联网。,This is an Internet.
取决于,取決於,qǔ jué yú,to hinge on; to be decided by; to depend on,new-7,v,4910,3,3-char,我每天都取决于。,I to hinge on every day.
候选人,候選人,hòu xuǎn rén,candidate,"newest-7, new-7",n,4996,3,3-char,这是候选人。,This is a candidate.
摄影师,攝影師,shè yǐng shī,photographer; cameraman,new-5,n,5266,3,3-char,这是摄影师。,This is a photographer.
服务器,服務器,fú wù qì,server (computer),"newest-7, new-7",n,5345,3,3-char,这是服务器。,This is a server.
大规模,大規模,dà guī mó,large scale; extensive; wide scale; broad scale,new-4,"b, d",5352,3,3-char,我在学习“大规模”。,I'm learning '大规模'.
数据库,數據庫,shù jù kù,database,"newest-7, new-7",n,5370,3,3-char,这是数据库。,This is a database.
影响力,影響力,yǐng xiǎng lì,influence; impact,new-6,n,5422,3,3-char,这是影响力。,This is an influence.
想不到,想不到,xiǎng bu dào,unexpected; hard to imagine; it had not occurred to me; who could have thought that,new-6,v,5435,3,3-char,我每天都想不到。,I unexpected every day.
停车场,停車場,tíng chē chǎng,parking lot; car park,"newest-4, new-2",n,5453,3,3-char,这是停车场。,This is a parking lot.
服务员,服務員,fú wù yuán,waiter; waitress; attendant; customer service personnel,"new-3, old-2",n,5531,3,3-char,这是服务员。,This is a waiter.
这时候,這時候,zhè shíhòu,At this moment,new-2,"r, t",5552,3,3-char,我在学习“这时候”。,I'm learning '这时候'.
多年来,多年來,duō nián lái,for the past many years,"newest-7, new-7",,5576,3,3-char,我在学习“多年来”。,I'm learning '多年来'.
工程师,工程師,gōng chéng shī,engineer,"newest-5, new-3, old-5",n,5605,3,3-char,这是工程师。,This is an engineer.
志愿者,志願者,zhì yuàn zhě,volunteer,"newest-5, new-3",n,5709,3,3-char,这是志愿者。,This is a volunteer.
心脏病,心臟病,xīn zàng bìng,heart disease,new-6,n,5722,3,3-char,这是心脏病。,This is a heart disease.
奥运会,奧運會,Aò yùn huì,abbr. for 奥林匹克运动会; Olympic Games; the Olympics,new-7,n,5746,3,3-char,这是奥运会。,This is an abbr. for 奥林匹克运动会.
来不及,來不及,lái bu jí,there's not enough time (to do sth); it's too late (to do sth),"newest-4, new-4, old-4",v,5768,3,3-char,我每天都来不及。,I there's not enough time every day.
了不起,了不起,liǎo bu qǐ,amazing; terrific; extraordinary,"newest-5, new-4, old-5",a,5874,3,3-char,这个很了不起。,This is very amazing.
幼儿园,幼兒園,yòu ér yuán,kindergarten; nursery school,"newest-5, new-4, old-5",n,5893,3,3-char,这是幼儿园。,This is a kindergarten.
飞行员,飛行員,fēi xíng yuán,pilot; aviator,"newest-5, new-6",n,5972,3,3-char,这是飞行员。,This is a pilot.
共和国,共和國,gòng hé guó,republic,"newest-7, old-6",n,6012,3,3-char,这是共和国。,This is a republic.
公积金,公積金,gōng jī jīn,official reserves; accumulated fund,new-7,,6101,3,3-char,我在学习“公积金”。,I'm learning '公积金'.
不仅仅,不僅僅,bù jǐn jǐn,not only; not just,new-6,d,6163,3,3-char,他不仅仅来。,He comes not only; not just.
有助于,有助於,yǒu zhù yú,to contribute to; to promote,"newest-5, new-7",v,6239,3,3-char,我每天都有助于。,I to contribute to every day.
上个月,上個月,shàng gè yuè,last month,new-4,t,6260,3,3-char,我们上个月见。,See you last month.
艾滋病,艾滋病,ài zī bìng,AIDS (loanword),"newest-7, new-7",n,6270,3,3-char,这是艾滋病。,This is an AIDS.
毕业生,畢業生,bì yè shēng,graduate,"newest-4, new-4",n,6344,3,3-char,这是毕业生。,This is a graduate.
糖尿病,糖尿病,táng niào bìng,diabetes; diabetes mellitus,"newest-7, new-7",n,6384,3,3-char,这是糖尿病。,This is a diabetes.
音乐会,音樂會,yīn yuè huì,concert,new-2,n,6465,3,3-char,这是音乐会。,This is a concert.
国务院,國務院,Guó wù yuàn,State Council (PRC); State Department (USA),"newest-7, old-6",nt,6472,3,3-char,这是国务院。,This is a State Council.
发布会,發佈會,fā bù huì,news conference; briefing,new-7,n,6550,3,3-char,这是发布会。,This is a news conference.
受害人,受害人,shòu hài rén,victim,"newest-7, new-7",n,6583,3,3-char,这是受害人。,This is a victim.
摄像机,攝像機,shè xiàng jī,video camera,new-5,n,6585,3,3-char,这是摄像机。,This is a video camera.
电视机,電視機,diàn shì jī,television set,new-1,n,6649,3,3-char,这是电视机。,This is a television set.
许可证,許可證,xǔ kě zhèng,license; authorization; permit,new-7,n,6731,3,3-char,这是许可证。,This is a license.
致力于,致力於,zhìlìyú,Dedicate,"newest-7, new-7, old-6",,6734,3,3-char,我在学习“致力于”。,I'm learning '致力于'.
发言人,發言人,fā yán rén,spokesperson,"newest-7, new-6",n,6774,3,3-char,这是发言人。,This is a spokesperson.
葡萄酒,葡萄酒,pú tao jiǔ,(grape) wine,"newest-4, new-5",n,6827,3,3-char,这是葡萄酒。,This is a wine.
普通人,普通人,pǔ tōng rén,ordinary person; private citizen; people; the person in the street,new-7,n,6885,3,3-char,这是普通人。,This is an ordinary person.
一点儿,一點兒,yī diǎn r,"erhua variant of 一点; a bit; a little bit; (used in negative expressions) (not) the least bit; (after an adjective, used to form the comparative) a bit more","newest-1, new-1",mq,6921,3,3-char,我有三一点儿。,I have three erhua variant of 一点.
来得及,來得及,lái de jí,to have enough time; can do it in time; can still make it,"newest-4, new-4, old-4",v,6981,3,3-char,我每天都来得及。,I to have enough time; can do it in time; can still make it every day.
研究生,研究生,yán jiū shēng,graduate student; postgraduate student; research student,"newest-4, new-4, old-4",n,7033,3,3-char,这是研究生。,This is a graduate student.
一次性,一次性,yī cì xìng,one-off (offer); one-time; single-use; disposable (goods),"newest-5, new-6","b, d",7116,3,3-char,我在学习“一次性”。,I'm learning '一次性'.
目的地,目的地,mù dì dì,destination (location),"newest-4, new-7",n,7131,3,3-char,这是目的地。,This is a destination.
蛋白质,蛋白質,dàn bái zhì,protein,"newest-6, new-7, old-6",n,7228,3,3-char,这是蛋白质。,This is a protein.
维生素,維生素,wéi shēng sù,vitamin,"newest-6, new-6, old-6",n,7240,3,3-char,这是维生素。,This is a vitamin.
火车站,火車站,huǒ chē zhàn,train station,old-1,n,7270,3,3-char,这是火车站。,This is a train station.
研究所,研究所,yán jiū suǒ,research institute; graduate studies; graduate school,new-5,n,7271,3,3-char,这是研究所。,This is a research institute.
卫生间,衛生間,wèi shēng jiān,bathroom; toilet; WC,"newest-3, new-3, old-5",n,7314,3,3-char,这是卫生间。,This is a bathroom.
一瞬间,一瞬間,yī shùn jiān,split second,new-7,"t, m",7348,3,3-char,我们一瞬间见。,See you split second.
消费者,消費者,xiāo fèi zhě,consumer,"newest-5, new-5",n,7354,3,3-char,这是消费者。,This is a consumer.
老太太,老太太,lǎo tài tai,elderly lady (respectful); esteemed mother,"newest-6, new-3",n,7407,3,3-char,这是老太太。,This is an elderly lady.
副作用,副作用,fù zuò yòng,side effect,"newest-7, new-7, old-6",n,7428,3,3-char,这是副作用。,This is a side effect.
体育馆,體育館,tǐ yù guǎn,gym; gymnasium; stadium,"newest-3, new-2",n,7477,3,3-char,这是体育馆。,This is a gym.
老朋友,老朋友,lǎo péng you,old friend; (slang) period; menstruation,new-2,n,7500,3,3-char,这是老朋友。,This is an old friend.
一大早,一大早,yī dà zǎo,at dawn; at first light; first thing in the morning,new-7,t,7571,3,3-char,我们一大早见。,See you at dawn.
一方面,一方面,yī fāng miàn,on the one hand,new-3,"c, n",7572,3,3-char,我在学习“一方面”。,I'm learning '一方面'.
星期天,星期天,Xīng qī tiān,Sunday,"newest-1, new-1",t,7577,3,3-char,我们星期天见。,See you Sunday.
怪不得,怪不得,guài bu de,no wonder!; so that's why!,"newest-7, new-7, old-5",d,7596,3,3-char,他怪不得来。,He comes no wonder!.
老百姓,老百姓,lǎo bǎi xìng,"ordinary people; the ""person in the street""","newest-5, new-3, old-5",n,7618,3,3-char,这是老百姓。,This is an ordinary people.
建筑物,建築物,jiàn zhù wù,building; structure; edifice,"newest-6, new-7",n,7652,3,3-char,这是建筑物。,This is a building.
牛仔裤,牛仔褲,niú zǎi kù,jeans,"newest-5, new-5, old-5",n,7666,3,3-char,这是牛仔裤。,This is a jeans.
奖学金,獎學金,jiǎng xué jīn,scholarship,"newest-4, new-4",n,7771,3,3-char,这是奖学金。,This is a scholarship.
抗生素,抗生素,kàng shēng sù,antibiotic,"newest-7, new-7",n,7830,3,3-char,这是抗生素。,This is an antibiotic.
加油站,加油站,jiā yóu zhàn,gas station,"newest-4, new-4, old-4",n,7839,3,3-char,这是加油站。,This is a gas station.
出版社,出版社,chū bǎn shè,publishing house,new-7,n,7844,3,3-char,这是出版社。,This is a publishing house.
要不然,要不然,yào bù rán,otherwise; or else; or,"new-6, old-6",c,7865,3,3-char,我在学习“要不然”。,I'm learning '要不然'.
有利于,有利於,yǒu lì yú,to be advantageous to; to be beneficial for,new-5,v,7879,3,3-char,我每天都有利于。,I to be advantageous to; to be beneficial for every day.
精神病,精神病,jīng shén bìng,mental disorder; psychosis,"newest-7, new-7",n,7889,3,3-char,这是精神病。,This is a mental disorder.
从来不,從來不,cóng lái bù,never,new-7,d,7895,3,3-char,他从来不来。,He comes never.
高跟鞋,高跟鞋,gāo gēn xié,high-heeled shoes,new-5,n,7901,3,3-char,这是高跟鞋。,This is a high-heeled shoes.
打招呼,打招呼,dǎ zhāo hu,to greet sb by word or action; to give prior notice,"newest-4, new-7, old-5","v, vn",7931,3,3-char,我每天都打招呼。,I to greet sb by word or action every day.
电影院,電影院,diàn yǐng yuàn,cinema; movie theater,"newest-1, new-1",n,7945,3,3-char,这是电影院。,This is a cinema; movie theater.
不至于,不至於,bù zhì yú,unlikely to go so far as to; not as bad as,"newest-6, new-6",d,7982,3,3-char,他不至于来。,He comes unlikely to go so far as to; not as bad as.
核武器,核武器,hé wǔ qì,nuclear weapon,"newest-7, new-7",n,8000,3,3-char,这是核武器。,This is a nuclear weapon.
大自然,大自然,dà zì rán,nature (the natural world),"newest-4, new-2",n,8020,3,3-char,这是大自然。,This is a nature.
公务员,公務員,gōng wù yuán,functionary; office-bearer,"newest-5, new-3",n,8047,3,3-char,这是公务员。,This is a functionary.
代理人,代理人,dài lǐ rén,agent,"newest-7, new-7",n,8064,3,3-char,这是代理人。,This is an agent.
以至于,以至於,yǐ zhì yú,down to; up to; to the extent that...,"newest-7, new-7",c,8091,3,3-char,我在学习“以至于”。,I'm learning '以至于'.
面对面,面對面,miàn duì miàn,face to face,new-6,l,8105,3,3-char,我在学习“面对面”。,I'm learning '面对面'.
外星人,外星人,wài xīng rén,space alien; extraterrestrial,"newest-7, new-7",n,8135,3,3-char,这是外星人。,This is a space alien; extraterrestrial.
大不了,大不了,dà bù liǎo,at worst; if worst comes to worst; (usu. in the negative) serious; alarming,"newest-7, old-6","v, b",8135,3,3-char,我每天都大不了。,I at worst; if worst comes to worst every day.
救护车,救護車,jiù hù chē,ambulance,"newest-5, new-7, old-5",n,8140,3,3-char,这是救护车。,This is an ambulance.
残疾人,殘疾人,cán jí rén,disabled person,new-6,n,8182,3,3-char,这是残疾人。,This is a disabled person.
用不着,用不著,yòng bu zháo,not need; have no use for,new-5,l,8346,3,3-char,我在学习“用不着”。,I'm learning '用不着'.
打交道,打交道,dǎ jiāo dào,to come into contact with; to have dealings,"newest-6, new-7, old-5",v,8359,3,3-char,我每天都打交道。,I to come into contact with every day.
世界杯,世界杯,Shì jiè bēi,World Cup,new-3,"n, nz",8383,3,3-char,这是世界杯。,This is a World Cup.
可不是,可不是,kě bu shì,that's just the way it is; exactly!,"newest-7, new-7",,8534,3,3-char,我在学习“可不是”。,I'm learning '可不是'.
总经理,總經理,zǒng jīng lǐ,general manager; CEO,new-6,n,8536,3,3-char,这是总经理。,This is a general manager.
不得了,不得了,bù dé liǎo,desperately serious; disastrous; extremely; exceedingly,"newest-5, new-5, old-5",l,8549,3,3-char,我在学习“不得了”。,I'm learning '不得了'.
双胞胎,雙胞胎,shuāng bāo tāi,twin,"newest-7, new-7, old-6",n,8603,3,3-char,这是双胞胎。,This is a twin.
老人家,老人家,lǎo rén jiā,polite term for old woman or man,"newest-7, new-7",n,8629,3,3-char,这是老人家。,This is a polite term for old woman or man.
不怎么,不怎麼,bù zěn me,not very; not particularly,new-6,v,8686,3,3-char,我每天都不怎么。,I not very every day.
离不开,離不開,lí bu kāi,inseparable; inevitably linked to,new-4,v,8817,3,3-char,我每天都离不开。,I inseparable every day.
就是说,就是說,jiù shì shuō,in other words; that is,new-6,c,8855,3,3-char,我在学习“就是说”。,I'm learning '就是说'.
穆斯林,穆斯林,Mù sī lín,Muslim,new-7,nz,8893,3,3-char,这是穆斯林。,This is a Muslim.
舍不得,捨不得,shě bu de,to hate to do sth; to hate to part with; to begrudge,"newest-5, new-5, old-5",v,8924,3,3-char,我每天都舍不得。,I to hate to do sth every day.
动物园,動物園,dòng wù yuán,zoo,"newest-3, new-2",n,9030,3,3-char,这是动物园。,This is a zoo.
纪念日,紀念日,jì niàn rì,day of commemoration; memorial day,"newest-5, new-7",n,9147,3,3-char,这是纪念日。,This is a day of commemoration.
价值观,價值觀,jià zhí guān,system of values,"newest-7, new-7",n,9179,3,3-char,这是价值观。,This is a system of values.
责任感,責任感,zé rèn gǎn,sense of responsibility,new-7,n,9192,3,3-char,这是责任感。,This is a sense of responsibility.
代言人,代言人,dài yán rén,spokesperson,new-7,n,9209,3,3-char,这是代言人。,This is a spokesperson.
发脾气,發脾氣,fā pí qì,to get angry,new-7,v,9294,3,3-char,我每天都发脾气。,I to get angry every day.
开幕式,開幕式,kāi mù shì,opening ceremony,"newest-5, new-5, old-5",n,9329,3,3-char,这是开幕式。,This is an opening ceremony.
地下室,地下室,dì xià shì,basement; cellar,new-6,n,9373,3,3-char,这是地下室。,This is a basement.
时不时,時不時,shí bù shí,from time to time,new-7,d,9417,3,3-char,他时不时来。,He comes from time to time.
过不去,過不去,guò bu qù,to make life difficult for; to embarrass; unable to make it through,"newest-7, new-7",v,9461,3,3-char,我每天都过不去。,I to make life difficult for every day.
天然气,天然氣,tiān rán qì,natural gas,"newest-6, new-5, old-6",n,9485,3,3-char,这是天然气。,This is a natural gas.
集装箱,集裝箱,jí zhuāng xiāng,container (for shipping),"newest-7, new-7",n,9507,3,3-char,这是集装箱。,This is a container.
无线电,無線電,wú xiàn diàn,wireless,new-7,n,9519,3,3-char,这是无线电。,This is a wireless.
收音机,收音機,shōu yīn jī,radio,"newest-7, new-3, old-6",n,9558,3,3-char,这是收音机。,This is a radio.
收视率,收視率,shōu shì lǜ,ratings (of a TV show),"newest-7, new-7",n,9580,3,3-char,这是收视率。,This is a ratings.
时间表,時間表,shí jiān biǎo,schedule; timetable,"newest-4, new-7",n,9620,3,3-char,这是时间表。,This is a schedule.
宇航员,宇航員,yǔ háng yuán,astronaut,new-6,n,9650,3,3-char,这是宇航员。,This is an astronaut.
洗手间,洗手間,xǐ shǒu jiān,toilet; lavatory; washroom,"newest-2, new-1, old-3",n,9674,3,3-char,这是洗手间。,This is a toilet.
做生意,做生意,zuò shēng yì,to do business,"new-7, old-4",,9762,3,3-char,我在学习“做生意”。,I'm learning '做生意'.
一路上,一路上,yī lù shàng,along the way; the whole way; (fig.) the whole time,new-6,,9985,3,3-char,我在学习“一路上”。,I'm learning '一路上'.
传染病,傳染病,chuán rǎn bìng,infectious disease; contagious disease; pestilence,"newest-6, new-7",n,10002,3,3-char,这是传染病。,This is an infectious disease.
混凝土,混凝土,hùn níng tǔ,concrete,new-7,n,10054,3,3-char,这是混凝土。,This is a concrete.
不要紧,不要緊,bù yào jǐn,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but","newest-5, new-4, old-5",v,10100,3,3-char,我每天都不要紧。,I unimportant every day.
倒计时,倒計時,dào jì shí,to count down; countdown,"newest-7, new-7",,10111,3,3-char,我在学习“倒计时”。,I'm learning '倒计时'.
通行证,通行證,tōng xíng zhèng,a pass (authority to enter); a laissez-passer or safe conduct,new-7,n,10140,3,3-char,这是通行证。,This is an a pass.
望远镜,望遠鏡,wàng yuǎn jìng,binoculars; telescope,"newest-7, new-7",n,10171,3,3-char,这是望远镜。,This is a binoculars.
太阳能,太陽能,tài yáng néng,solar energy,"newest-6, new-6",n,10215,3,3-char,这是太阳能。,This is a solar energy.
乒乓球,乒乓球,pīng pāng qiú,table tennis; ping-pong; table tennis ball,"newest-4, new-7, old-4",n,10217,3,3-char,这是乒乓球。,This is a table tennis.
